Data Source;World Development Indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;24/2/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;;
Aruba;ABW;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;2.77;;;4.51;154.428;17.1;18.8;20.8;23;25.4;28;30.9;52;58;62;69;74;78.9;83.78;886.612;935.425;97.17;;;;;;;;;;
Africa Eastern and Southern;AFE;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.8;1.9;2.7;3;3.5;5.3;6.8;8.4;10;12.1;14.3;16.3;17.3;19.6;21.6;23.5;25;26.8;27.8;28.8;30.4;;
Afghanistan;AFG;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;0.00472257;0.0045614;0.0878913;0.105809;122.415;210.712;1.9;1.84;3.55;4;5;545.455;5.9;7;8.26;11;13.5;16.8;17.6;170.485;165.143;171.917;177.089;;;;
Africa Western and Central;AFW;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.3;3.4;4.3;5;5.8;7.3;8.7;10.3;12.6;15;18.6;20.9;23.8;25.7;28.5;31.5;34.7;37.5;38.5;40;42.4;;
Angola;AGO;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0.000776;0.00567;0.0185;0.072;0.105046;0.136014;0.270377;0.370682;0.464815;114.337;1.5;1.7;1.9;2.3;2.8;4.7;7.7;13;213.623;22;23.2;26;29;321.294;366.347;393.876;420.719;447.581;;;;
Albania;ALB;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.0112;0.0322;0.0486;0.065;0.0814;0.114097;0.325798;0.390081;0.9719;242.039;604.389;960.999;150.361;23.86;41.2;45;47;49.4;51.8;54.3;56.9;59.6;62.4;65.4;685.504;722.377;793.237;826.137;831.356;;;;
Andorra;AND;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;1.53;3.05;6.89;7.64;105.388;;112.605;135.464;26.838;376.058;489.368;70.87;70.04;78.53;81;81;82.7;84.4;86.1;87.9;89.7;915.675;;907.187;932.056;938.975;944.855;954.456;;;;
Arab World;ARB;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
United Arab Emirates;ARE;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.103;0.375;3.3;6.91;14.9;236.253;262.718;283.165;29.478;301.313;40;52;61;63;64;68;78;85;88;90.4;90.5;90.6;948.199;98.45;99.15;100;100;100;100;100;;;
Argentina;ARG;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0.00299;0.0295;0.0437;0.0863;0.142;0.28;0.831;3.28;703.868;978.081;108.821;119.137;160.367;177.206;209.272;259.466;281.126;34;45;51;55.8;59.9;64.7;680.431;70.969;742.949;77.7;79.947;855.144;871.507;883.754;89.229;896.672;;;
Armenia;ARM;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0.00912;0.0527;0.0946;0.112;0.129;0.971;130.047;163.109;196.041;457.522;489.901;525.298;563.179;602.125;6.21;15.3;25;32;37.5;41.9;546.228;591.008;64.346;647.449;682.451;665.439;765.077;786.123;770.277;799.966;;;;
American Samoa;ASM;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;ATG;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;2.2;2.86;3.48;4.07;5.3;648.223;889.929;12.5;172.286;242.665;27;30;34;38;42;47;52;58;63.4;67.78;70;709.743;719.621;729.637;739.792;750.089;760.528;771.648;775.756;;;;
Australia;AUS;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.585;1.1;1.77;1.97;2.23;2.76;3.28;16.4;30.8;40.8;467.561;526.893;;;;63;66;69.45;71.67;74.25;76;794.877;79;834.535;84;845.605;86.54;86.545;90;936.099;946.935;969.722;970.424;970.631;;;;
Austria;AUT;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.13;0.259;0.643;0.765;1.39;1.89;6.91;9.53;15.4;23;337.301;391.855;36.56;42.7;54.28;58;63.6;69.37;72.87;73.45;75.17;78.74;80.03;806.188;809.958;839.401;843.237;879.356;874.791;877.522;875.294;925.292;936.141;953.347;949.197;;;
Azerbaijan;AZE;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0.00143;0.00206;0.00635;0.0252;0.0375;0.0992;0.147758;0.305565;499.971;;;803.038;119.922;14.54;17.08;27.4;46;50;54.2;73;75;77;78.2;79;79.8;81.1;84.6;86;88;89;;;;
Burundi;BDI;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0.000804;0.00798;0.0158;0.0392;0.0772484;0.106001;0.118228;0.201273;0.34906;0.542143;0.657593;0.7;0.81;0.9;1;1.11;1.22;126.422;104.239;2;2.2;266.075;4;6.1;917.302;109.847;110.009;110.784;;;;
Belgium;BEL;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00101;0.0201;0.1;0.199;0.696;0.992;2.97;4.94;7.89;13.8;294.317;312.884;46.33;49.97;53.86;55.82;619.819;667.604;688.573;745.441;776.398;81.61;80.72;821.702;850.012;850.529;865.165;876.797;886.473;902.754;915.264;927.887;940.078;946.263;957.758;;;
Benin;BEN;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0.00169;0.0246;0.0479;0.155;0.225248;0.363418;0.702946;0.951327;118.254;127.103;153.785;1.79;1.85;2.24;3.13;414.832;4.5;4.9;6;11.255;14.5;18.7;19;20.5;221.206;282.047;300.134;322.083;;;;
Burkina Faso;BFA;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0.000961;0.0187;0.0454;0.0618;0.0770802;0.157732;0.200993;0.37344;0.400295;0.469914;0.632708;0.75;0.92;1.13;2.4;3;372.503;5;6;6.55;7.14;7.79;8.5;927.181;107.927;125.631;146.238;170.226;;;;
Bangladesh;BGD;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0.000751;0.00368;0.0362;0.0710394;0.129808;0.13992;0.163878;0.199036;0.241637;1;1.8;2.5;3.1;3.7;4.5;5;6.63;11.9;12.9;18.1;21.5;25.6;30.4;361.091;389.174;416.165;445.027;;;;
Bulgaria;BGR;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0.00234;0.0195;0.12;0.725;1.22;1.84;2.91;537.092;76.123;9.08;12.04;18.13;19.97;27.09;33.64;39.67;45;46.23;47.98;51.9;530.615;554.904;566.563;598.255;634.101;64.782;67.947;701.625;752.714;791.269;803.896;82.439;;;
Bahrain;BHR;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.346;0.843;1.65;3.22;4.72;615.373;150.386;180.507;215.549;214.587;213.037;28.244;32.91;51.95;53;55;77;88;90;905.031;934.783;98;958.781;986.447;997.015;99.671;100;100;100;100;;;
Bahamas; The;BHS;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.96;1.75;1.36;2.34;3.76;8;11.8;18;20;22;25;26;27;31.54;33.88;43;65;717.482;72;76.92;78;80;80.6;83;906.933;924.437;943.479;947.326;948.186;;;
Bosnia and Herzegovina;BIH;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0.0151;0.0594;0.144;0.194;108.296;120.053;264.827;396.504;15.469;213.267;251.224;27.92;34.66;37.74;42.75;438.877;450.645;485.213;499.177;52.6;602.565;64.892;701.201;699.463;732.118;756.762;788.455;833.772;861.009;;;
Belarus;BLR;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0.000486;0.00292;0.0293;0.049;0.0739;0.495;18.604;430.062;895.097;;;;16.2;19.7;23;27.43;31.8;396.489;46.91;54.17;590.163;622.304;71.113;744.364;791.299;827.892;850.879;868.884;895.073;915.125;942.618;;;
Belize;BLZ;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.0454;0.883;1.29;2.09;4.08;596.384;;568.425;;9.8;17;24;24.6;26.3;27.2;28.2;30.7;31;33.6;38.7;41.59;445.757;488.771;535.936;587.652;644.359;706.537;718.096;723.595;;;;
